repertoire_id,signal_cancer,1_TRB,2_TRB,3_TRB
subject1,True,0,0,0
subject2,True,0,0,0
subject3,True,0,0,0
subject4,True,0,0,0
subject5,True,0,0,0
subject6,True,0,0,0
subject7,True,0,0,0
subject8,True,0,0,0
subject9,True,0,0,0
subject10,True,0,0,0
subject11,True,0,0,0
subject12,True,0,0,0
subject13,True,0,0,0
subject14,True,0,0,0
subject15,True,0,0,0
subject16,True,0,0,0
subject17,True,0,0,0
subject18,True,0,0,0
subject19,True,0,0,0
subject20,True,0,0,0
subject21,True,0,0,0
subject22,True,0,0,0
subject23,True,0,0,0
subject24,True,0,0,0
subject25,True,0,0,0
subject26,True,0,0,0
subject27,True,0,0,0
subject28,True,0,0,0
subject29,True,0,0,0
subject30,True,0,0,0
subject31,True,0,0,0
subject32,True,0,0,0
subject33,True,0,0,0
subject34,True,0,0,0
subject35,True,0,0,0
subject36,True,0,0,0
subject37,True,0,0,0
subject38,True,0,0,0
subject39,True,0,0,0
subject40,True,0,0,0
subject41,True,0,0,0
subject42,True,0,0,0
subject43,True,0,0,0
subject44,True,0,0,0
subject45,True,0,0,0
subject46,True,0,0,0
subject47,True,0,0,0
subject48,True,0,0,0
subject49,True,0,0,0
subject50,True,0,0,0
subject51,True,0,0,0
subject52,True,0,0,0
subject53,True,0,0,0
subject54,True,0,0,0
subject55,True,0,0,0
subject56,True,0,0,0
subject57,True,0,0,0
subject58,True,0,0,0
subject59,True,0,0,0
subject60,True,0,0,0
subject61,True,0,0,0
subject62,True,0,0,0
subject63,True,0,0,0
subject64,True,0,0,0
subject65,True,0,0,0
subject66,True,0,0,0
subject67,True,0,0,0
subject68,True,0,0,0
subject69,True,0,0,0
subject70,True,0,0,0
subject71,True,0,0,0
subject72,True,0,0,0
subject73,True,0,0,0
subject74,True,0,0,0
subject75,True,0,0,0
subject76,True,0,0,0
subject77,True,0,0,0
subject78,True,0,0,0
subject79,True,0,0,0
subject80,True,0,0,0
subject81,True,0,0,0
subject82,True,0,0,0
subject83,True,0,0,1
subject84,True,0,0,0
subject85,True,0,0,0
subject86,True,0,0,0
subject87,True,0,0,0
subject88,True,0,0,0
subject89,True,0,0,0
subject90,True,0,0,0
subject91,True,0,0,0
subject92,True,0,0,0
subject93,True,0,0,0
subject94,True,0,0,0
subject95,True,0,0,0
subject96,True,0,0,0
subject97,True,0,0,0
subject98,True,0,0,0
subject99,True,0,0,0
subject100,True,0,0,0
subject101,False,0,0,0
subject102,False,0,0,0
subject103,False,0,0,0
subject104,False,0,0,0
subject105,False,0,0,0
subject106,False,0,0,0
subject107,False,0,0,0
subject108,False,0,0,0
subject109,False,0,0,0
subject110,False,0,0,0
subject111,False,0,0,0
subject112,False,0,0,0
subject113,False,0,0,0
subject114,False,0,0,0
subject115,False,0,0,0
subject116,False,0,0,0
subject117,False,0,0,0
subject118,False,0,0,0
subject119,False,0,0,0
subject120,False,0,0,0
subject121,False,0,0,0
subject122,False,0,0,0
subject123,False,0,0,0
subject124,False,0,0,0
subject125,False,0,0,0
subject126,False,0,0,0
subject127,False,0,0,0
subject128,False,0,0,0
subject129,False,0,0,0
subject130,False,0,0,0
subject131,False,0,0,0
subject132,False,0,0,0
subject133,False,0,0,0
subject134,False,0,0,0
subject135,False,0,0,0
subject136,False,0,0,0
subject137,False,0,0,0
subject138,False,0,0,0
subject139,False,1,0,0
subject140,False,0,0,0
subject141,False,0,0,0
subject142,False,0,0,0
subject143,False,0,0,0
subject144,False,0,0,0
subject145,False,0,0,0
subject146,False,0,0,0
subject147,False,0,0,0
subject148,False,0,0,0
subject149,False,0,0,0
subject150,False,0,0,0
subject151,False,0,0,0
subject152,False,0,0,0
subject153,False,0,0,0
subject154,False,0,0,0
subject155,False,0,0,0
subject156,False,0,0,0
subject157,False,0,0,0
subject158,False,0,0,0
subject159,False,0,0,0
subject160,False,0,0,0
subject161,False,0,0,0
subject162,False,0,0,0
subject163,False,0,0,0
subject164,False,0,0,0
subject165,False,0,0,0
subject166,False,0,0,0
subject167,False,0,0,0
subject168,False,0,0,0
subject169,False,0,0,0
subject170,False,0,0,0
subject171,False,0,0,0
subject172,False,0,0,0
subject173,False,0,0,0
subject174,False,0,0,0
subject175,False,0,0,0
subject176,False,0,0,0
subject177,False,0,0,0
subject178,False,0,0,0
subject179,False,0,0,0
subject180,False,0,0,0
subject181,False,0,0,0
subject182,False,0,0,0
subject183,False,0,0,0
subject184,False,0,0,0
subject185,False,0,0,0
subject186,False,0,0,0
subject187,False,0,0,0
subject188,False,0,0,0
subject189,False,0,0,0
subject190,False,0,0,0
subject191,False,0,0,0
subject192,False,0,0,0
subject193,False,0,0,0
subject194,False,0,0,0
subject195,False,0,0,0
subject196,False,0,0,0
subject197,False,0,0,0
subject198,False,0,0,0
subject199,False,0,0,0
subject200,False,0,0,0
